"""@relation new_dataset""",
""" guesss who ;) Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?""",0
""" -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3 Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!""",0
""" haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol lmfao! haha! Nahh its my badd;)""",0
""" haha ;)so.. have u ever been to france? Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha""",0
""" haha check inside ur closet u mind find out who it is(; Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk""",0
""" HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3 OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!""",0
""" HAHAH GUESS WHO!? <3 Mary?! lol hahahaha""",0
""" hahah okey dokey!..sweet thang(; Mwahaha!!! Sweet thang! i love it!!""",0
""" HAHAHA NOPE! ... Uhhhhh!!!! OMG! Taquisha? LOL!""",0
""" have u seen JUSTIN BIEBER in person? (: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!""",0
""" Have you broken any bones?  If so  how? Haha nahh ive just fractured some thumbs bhut itz all good lol""",0
""" have you ever been on itellyouthat.com? go there and tell something to the world :D Hahah OHKAY?!""",0
""" have you ever had your heart broken? Yup yup!!:P""",0
""" hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah""",0
""" Hello. My friend is also named April. Nicee!""",0
""" Hello? Hey  hows yah momma?!""",0
""" -Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3 ahahaha!!!(: It wuzz funn!(: lmao<3""",0
""" Hey my name is April too! Haha. People named April are always cool. LOL. Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa""",0
""" hey you&#039;re an amazing nice and sweet girl..pretty too! Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!""",0
""" Hey. Why you such a bitch? Why thank yuh!""",1
""" Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!! Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!""",0
""" heyyyyyy!!! how u doin!!!!! Im doing good thankyuh!!!Heyyy hbu?!""",0
""" heyyyyyyyy!!!!wats up!?!?(*)-) Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?""",0
""" Hi April!!! Heyy :D""",0
""" how many languages do u speak? Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!""",0
""" How would you describe your personality? Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms)""",0
""" How would you describe yourself in 3 words? Myself Bubbly Funny?""",0
""" i love your hair. iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!""",0
""" i love youu chica!<33 NO no no! I Love youuu moreee<333 ;D haha!!""",0
""" i love youuuuuuu (: iFUCKINLoveyou!!!<33 xox ha!""",0
""" i speak english frensh and a little arabic cuz i&#039;ve been to egypt a lotta times :D OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha""",0
""" I think ur not pretty. Sorry. Oh thats wht i think too! dnt be sorry hahaha! Silly goose""",0
""" i&#039;m bored can you tell me something funny? lool Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha""",0
""" IF U LIVE FOREVER WAT DO U LIVE FOR????? IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah""",0
""" If you could ask Barack Obama one question what would it be? Oh snap!! I would actually hug him first off ahah and say &quot;Nigga where my weed go?&quot; Hahaha jkjkjk i love him!! He is doin a great job!""",0
""" If you could ask George W. Bush one question what would it be? Are you a lonely boy?""",0
""" If you could be a star athlete in any sport  which sport would you pick? Basketball<3""",0
""" If you could be invited to one person&#039;s birthday party  whose would it be? JUSTIN BIEBER s Bday parrtayy! haha""",0
""" If you could be on one TV show which one would it be? Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D""",0
""" If you could become any fictional character  who would you be? Errmm...Harry potter? lol""",0
""" If you could change your name  what would you change it to? Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha""",0
""" If you could date any celebrity  who would it be? Justin Bieber or Channing Tatum! haha yumm!""",0
""" If you could eat dinner with any person  dead or alive  who would it be and where would you go? Michael Jacko and Subway! Doh!""",0
""" If you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be? Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.""",0
""" If you could go back in time 10 years and tell your younger self something  what would it be? Life is never going to be easy.""",0
""" If you could go on a road trip with any person  dead or alive  who would it be and where would you go? Justin Bieber.Duh. &amp;&amp; Russia! ;]""",0
""" If you could go on vacation for the next month with an unlimited budget  where would you go? I would so travel thee world  Visit my overseas besties then shop everywhere!<3""",0
""" If you could have an endless supply of any food  what would you get? Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?""",0
""" If you could have been the author of any book  what would it have been? ALL thee twilight books chuz she got some good mula baby!""",0
""" If you could make one person fall in love with you who would it be? My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!""",0
""" If you could master one skill what would it be? To never sin bhut will NEVER happen! See im already sinning  Never say never!""",0
""" If you could only listen to one song for the next month  which would it be? Up-Justin Bieber""",0
""" If you could only read one magazine for the rest of your life  which would it be? MMMag i love it!""",0
""" If you could rid the world of one thing  what would it be? HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz""",0
""" If you could wake up as anyone tomorrow  who would it be? MySelf!(:""",0
""" If you had to cook dinner for someone tonight  what would you make? Umm... we would go to jack-in-the-box! haha""",0
""" If you had to give up one favorite food  what would the most difficult? Chocolate;""",0
""" If you had your own talk show  who would your first three guests be? Justin Bieber Demi lovato and Barack Obama babay!!:D""",0
""" If you won a $1 000 shopping spree for any store  which store would you pick? Apple store!(; Need a MAC pro!""",0
""" If you won a million dollars what would you do with it? Great question! Tithe Help people Shop!""",0
""" If your house was on fire and you could only grab three things  what would they be? Laptop Dogs Family Shoes bed clothes coffee maker oven washer&amp;dryer refridgerator table&amp;chairs pics camera bath tub! HAHAhAHAHAHHAHA!!!!""",0
""" iLove your nose ring! Awhh i love ur earrings!""",0
""" ily! ily2 boo!""",0
""" Im good!! Juz got bak from the srip in vegas!!! It was awesome!!! I luved it!! Hav u evah been to vegas?:) Awhh! Yuh so lucky ghurr!!!I bet yuh had a BLAST! &amp; nahh ive never been bhut i would soo want to go!;D""",0
""" Is @TruAce single!? YESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS!!!!4 theee lasttt timeee!!! Ask him http://www.formspring.me/TRUACE""",0
""" justin bieber is my driving teacher oohh yess!..bahah we gonna be doing sumthing else instead of him teaching me how to drive(; lmao HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!""",0
""" lol oo no!..guurrrl u must be crazy!!..b/c i love u muchoo!. Uhhh!!! lmao!! U got me lmao! jkjk we can go on 4 like eva! Lezzzdoooittt I Love you more than yo own momma! AHHA!!""",0
""" Love you baby ;) Love you More babe<3""",0
""" Mammaasss!! :D how are you? haha go to skype ;D YOOOOOOOOOOOOOO!!!!!!!! Its Late; haha i have church tmrw bhut soon kay? srry:[""",0
""" Miley &amp; Bieber!!! Miley s a HOOCHIE! BIEBER ALL THEE WAY GHURL!!or boy!<33""",0
""" NOPE IM NOT BIANCA EITHER:) heres a clue...i come from new zealand;) LOL Chrisssy!!??? hahahahah Chantelle  Alesha Kailee? Tori?? LMFAO iddkkkkk""",0
""" NOPEEE!! my name starts with b :O OMFG!!! nooo wayyyy!!! Ughhh BROOOKKKEEEEE OMFG!!! im soo srry lmao lots of pplz r frmh ZEW ZEALAND! lmao I fukkinnn luvv yuhhhh hahaha!""",0
""" OH VISIT ME IF YOU TRAVEL THE WORLD KTHXBYE. xx Hahah Helllz yess! I will mamas!!<3 love u!""",0
""" Omg Justin Bieber!!!! :) haha. OMG!! ahhhh!! Where he go? Damn it he just fell off my window sil! haha jk!""",0
""" Rate yurself? I Love Justin Bieber! He s a 1000000000+ on a 1-10 scale HA!""",0
""" shut up ur prettty!..ll Shut up your prettier! <33""",0
""" Sneakers or sandals? Sandals 4suree ;D i wear them in thee winter 2! No lie! haha""",0
""" Sooooooo srry this is late!!!:) im juzz doin mothur freakin boring!!:) zzzzzz zzzz snore snore!!:) LMBO Hhahahahaah ohh noo problem mamas! ahah me2 im soo exhaustedd *yawn* *ywan* LMAO!""",0
""" the girl on your background bottom right hand corner looks like anna maria perez de tagle. :) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3""",0
""" tht woul b so cool if u were here so i can me u!!!!!! Ikrr that wud be awesome!!! I wish ;D""",0
""" wat state do u live in? Texas!!&amp;Yuh hun?! xox""",0
""" Well dats so tight ur friends wit @truace . How does it feel 2 kno him. Since ur his friend u wud kno does he hav a gf? Ohhkayy! First offf i was playin  i mean he is a really nice person dnt kno him like all that! Bhut u should ask him!""",0
""" well u say any language.. so.. coba tebak ini bahasa apa.. kamu ngerti ngga aku ngomong apa? ;) Huh!? That doesnt make sense  Guns something! lmao Come again!? lol""",0
""" What are you most excited about right now? Ummm SUMMER bein almost here! Who isnt? haha""",0
""" What did you dream about last night? Shh....Dnt tell any1 k? haha! NOTHING! MWAH!""",0
""" what do u guys prefer? Jonas brothers or justin bieber Ahhh! I love em both but I would go for Justin Bieber!!! Well because i m older. But I perfer them BOTH!""",0
""" What do you think about formspring.me so far? Its da shit! Fun stuff""",0
""" What do you think is your most attractive feature? My eyes! They are light brown and beautidul in the sun!(; Thanks God! oh and my hands! and ass lol jkjK!""",0
""" What do you think was the greatest invention in your lifetime? Thee comp? or cellfonne! hehe""",0
""" What kind of glasses do you have? Guess! haha no its the brand name.""",0
""" What kind of music can you just not stand to listen to? I cannot listen to that Heavy metal! I like me some rock(oldies) bhut not that scary shit ;D""",0
""" What music are you listening to today? Everything really! AHhaha Lovin my HipHop atm! Ester Dean is thee shyyttt!""",0
""" What one thing are you exceptionally good at? Urgh . . this is difficult to answer haha! Umm prob. fixing computers! ha yes i said it im like a WIZ at fixin comps that MYSELF and MOM destroy! AHAHA!""",0
""" What TV show do you wish would go off the air for good? The Hills! Chuz Lauren was thee whole point it was clld thee Hills and there is 2much drama! Bhut I still wtch it chuz i love 2 laugh at thee dumb shit! Spencer is a prick btw!;0""",0
""" What was the best concert you went to? Jonas Brothers Concert 8/13/09 ;D I still love em bhut Justin bieber is thee shit!""",0
""" What was the happiest moment in your life? I have many! 2many actually bhut i guess when i found my lifetime friends ;D""",0
""" What was the last book you read? The Miracle Worker""",0
""" What was the worst advice you&#039;ve ever received? This person actually told me this &quot;fried&quot; i had was not a true friend and she wants me 2 still be this person s friend! Thats a NONO!""",0
""" What was the worst concert you went to? Never been 2 1 tht was bad.""",0
""" What was the worst job you&#039;ve ever had? I can t complain chuz i dnt have or had one! hahaha soon though! real soon! ;""",0
""" What was your favorite birthday gift? Life(: haha!! umm idk thats hard!""",0
""" What was your favorite year? 1995 haha when i was bornwas my year! Doh!I didnt have 2 do ANYTHING on my own haha""",0
""" What was your worst travel experience? HA! goin to georgia just to see my dad s mother! Ugh i cnt stand her bhut God bless her soul! LONG LIFE STORY! haha""",0
""" What website do you spend the most time on? Oh good 1  Twitter (ofcousre) i love me some twitter peeps! They tha shit lol""",0
""" What would be the best workplace perk? Idk.. wait WHaaaa? lol""",0
""" What would your perfect day look like? Me&amp;God eatin Chicken wings on His throne <3 ahaha""",0
""" What&#039;s one food you&#039;ll never eat again? Brussel srouts! YuCkIE! bhut i love cabbage and they re mini cabbages! LMAO!""",0
""" What&#039;s one thing you own that you should probably throw away  but never will? My old school shit   i wud SOOO throw it away bhut my mom! Urgh""",0
""" What&#039;s the best gift you&#039;ve ever given? The important 1 is Love  bhut ive given people themselves! Like i let my friends have themselves instead of me! It helps to see who they are as a person! Very important! Viseversa.""",0
""" What&#039;s the best place near you to get a drink? Hahaha! Wait wht kind of drink! LOL well JackInTheBox is like not evn a mile away frmh my house! So there! i guess thts wht ur askin lmao! XP""",0
""" What&#039;s the best place near you to get some ice cream? Hmmm....U makin me hungry first of all! &amp;&amp; Dairy Queen! YUMM!!""",0
""" What&#039;s the best place near you to get some ice cream? Umm...Diary Queen? or JackINTHEBOX! 4 my smoothies of course not ice cream! Mwah""",0
""" What&#039;s the furthest you&#039;ve ever traveled? Virginia""",0
""" What&#039;s the longest you&#039;ve ever gone without a bath or shower? Haha! Maybe 2days? lol idk""",0
""" What&#039;s the most delicious meal you&#039;ve ever had? Wow. this is a hard 1 i dnt think ive had 1 or i have many! I love my smoothies tho! YUMMIE!""",0
""" What&#039;s the origin of your name? Idk... its a month that 4 sure lol""",0
""" What&#039;s the weirdest thing you&#039;ve ever eaten? A piece of grass?""",0
""" What&#039;s the weirdest thing you&#039;ve ever eaten? I Havent Gotten 2 that part!! haha""",0
""" what&#039;s your best achievement? Wow awesome question....I think my best achievement would be &quot;Finding who i am&quot; thats thee most important!!<33""",0
""" What&#039;s your biggest phobia? ummmm...messy rooms;""",0
""" What&#039;s your dream car? Something cute and ME!! haha you kno? well a beamer is my dream car basically! or a porshe!""",0
""" What&#039;s your earliest memory? Haha! Staring at my doctor thru sunglasses while he was in my mouth! HAHAHA!!!""",0
""" what&#039;s your fave song? My fav song girly!!! is umm.. Up &amp; Running by @jessicajarrell atm! But i have lots :) hbu!?""",0
""" What&#039;s your favorite drink? Mmm... ROOT BEER! haha my fav drink eva! POW""",0
""" What&#039;s your favorite food? Actually its cabbage!;D""",0
""" What&#039;s your favorite genre of music? POP!""",0
""" What&#039;s your favorite movie quote? Crap this is hard  haha umm &quot;People Need Inspiration&quot;- The Last Song <33""",0
""" What&#039;s your favorite type of flower? Pink Roses!(:""",0
""" what&#039;s your favourite colour? Pink &amp; Neon green(:""",0
""" what&#039;s your favourite movie? ;) Umm.. A walk to remember! or The Last song! Ugh theirs ALOT! haha hbu!""",0
""" What&#039;s yur fav color? PINK&amp;NEON GREEN!Yeahh buddie""",0
""" whats ur fav tv showww? :D <3 Umm. . . good question i have many bhut i guess 16 and pregnant would be 1 of my fav ones atm. ;D""",0
""" when ever you go to google translate  DONT USE IT!!! trust me.... Hahaha wht are u tlkn bout girl!""",0
""" When was the last time you gave flowers? Never;;""",0
""" When you were a kid  what did you want to be when you grew up? Actually i was that kid who wanted to be by herself so i guess when i grow up im going to be ME lol! Hard question 2 answer.""",0
""" Where are ya From??=) U.S.A!!!;] Known as Mars!!<3""",0
""" Where would you like to spend your retirement? Haha...when i turn 60 ish ask me this! lol""",0
""" where would you most like to live? Los Angeles! <33""",0
""" where&#039;s your ideal holiday destination? Umm... Dallas Texas! haha Idk im so plain so idk! Mwhaha""",0
""" Who and when was your first kiss? Umm.. Long time ago bhut i was like 5 or 6 haha Cory!""",0
""" who are your top three celebrity crushes? Yumm... Justin Bieber P-diddys son JDoir YUMMM....haha not really a celeb bhut yeah! &amp;&amp; Channing Fckn TATUM!!haha Oh damn!!""",0
""" Who are your Twitter besties? Ohh mann this is a GREAT ? Chrissy Michelle Savannah AJ Bianca and lotss more + you!<33""",0
""" who decided to take a shit on your face? im not quite sure! ill tell ya when i find out! I promise(:""",1
""" Who do you think should be the next president of the United States? Umm... Barack Obama 4 another 4 years! iLovehim!""",0
""" Who was the best teacher you&#039;ve ever had? Mmmh... My second grade teach Mrs. Caldwell <3""",0
""" Who&#039;s the funniest person you know? Prob. me or my seester (robbie) hahaha makes me wanna shit myself EVERYTIME she speaks lol""",0
""" Who&#039;s the most famous person you&#039;ve met? Urgh no1 yet! Keep hopin though!""",0
""" Who&#039;s the most overrated athlete? Michael Jackson! haha wait wrong one  Michael Jordon i meant ahah""",0
""" who&#039;s the prettiest person you know? idkk... mwauuuhhh!(:""",0
""" Who&#039;s the sexiest woman alive? I do not judge gyrls im not bi or a lezzboo!! K thanks """,0
""" Why do u follow the bandwagon? Formspring. Twitter. What&#039;s next gay Justin beiber. Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!""",1
""" -woaahhhhhh! Likee dude i&#039;m in youhr backround!!! :D AWESOMEEEE! <3 ilybbyy(: - Marryyyyy!!!!??/ LOL! itss yuhh boo!!! Hahaha Noo durr suckkaaa!!! Nahhh i loveee yuhhhh mooOee!!!""",0
""" would u ever go bungee jumping like justin did? Hahaha i think i would! I always do thee same shizz all thee tyme so yes i would hbu ?! ;D""",0
""" Would you rather be a famous musician or a famous actor? Not a guy! haha maybe a cheerleader haha jkjk!""",0
""" Would you rather be a vampire or a werewolf? Werewolf -AkA-  Jacob s Pride lol! His good part! lol""",0
""" Would you rather be a zombie or a mummy? Zombie 4sho!""",0
""" Would you rather be rich or famous? Famous(: Bhut im ME 4 rite now!""",0
""" Would you rather date a lot of different people  or be in a committed relationship? Both? LOL! jk""",0
""" Would you rather get up early or sleep late? SLEEP LATE!!Duh!""",0
""" Would you rather own a luxury yacht or a private jet? JET!!(: Hate boats! Worst experience ever was on a boat! Never again!""",0
""" Would you rather swim in a pool or the ocean? Pool""",0
""" Would you rather work at a large company or a small one? None! haha""",0
""" yea it&#039;s different from warm cali  but&#039;s cool :D weeeell gtg now :| gonna meet some friends i a few minutes lol.bye :] xx Ohh man i bet its tha shit!! Ohhkayy!(: be safe have fun!! <33""",0
""" yeh you r right... how should the 1 be?? i have no bf too!:) Yehh hahaha...idk.its weird..Boys r Boys So Im Me!!!alone hahah""",0
""" Yooooo mate   RinnaLovesJB here. heyhey  ask me anything ! (: Hahaha(: ight""",0
""" your attitude is so fun :) Thank yuh soo muchh!!!;D Im likin yurs 2 Mwah!""",0
""" :D nada ummm... what? u didnt know jose was my first kiss?""",0
""" :O lol no freaking way! btw  i didnt ask that :D no freaking way what???""",0
""" ahhh true.. true... plus it plays music XD Exactly!!!!!(:""",0
""" If you had to give up one favorite food  what would the most difficult? Ahh.. Probably Cookies! D:""",0
""" Pshhh liar ^^ haha im not a liar(:""",0
""" What did you eat for breakfast today? Cereal!""",0
""" What do you think is your most attractive feature? Ewwiee! Nothing haha(:""",0
""" what is one thing you can&#039;t live without?? :] its me right? Hahaha of c""",0
""" What is your biggest accomplishment? Ummm probably playing softball for 10 years(:""",0
""" What was your favorite birthday gift? a neckalce given to me by my love(: <3333""",0
""" What&#039;s the best place near you to get a drink? Starbuckks!!!!(:""",0
""" What&#039;s your favourite part to watch in Rent? hmmmm. think the part where te guy at support sings tht part makes me tear up=/ La ve boheme is a good one two""",0
""" Where&#039;d you find out about formspring.me? Umm Bunch of people just joined  and i got bored  so i wanted too!""",0
""" who was ur first kiss umm.. haha i dont know why you want to kn""",0
""" Why u so perfect!? ;) hahaha!!! im the farthest from""",0
""" Are you wearing the p I m not wearing""",0
""" Do you have a boyfriend? yess (:""",0
""" can you come to my party tonightt ?? who iss thiiis ???""",0
""" damn. i hate shiiiit talkers on formspringgg. i thought it was just a random question site thing ahaha thankss kidd ndd yeah i knoo reallyy huh...theeree soo stupidd there to scaredd to sayy anythingg too myy face""",0
""" i heart<3 youu. ahahah ii loveeee yuuuu moreee(:""",0
""" i lovee joiee<3 ii lovee yuuu moree:P""",0
""" i wub you Joie(: (: ahaha hii ceara..""",0
""" is jon the person u like? noo itss nottt""",0
""" Joie is beautifulllll. :) aww thankss yuu aree to""",0
""" Joiieeeee:) I LaLaLovee Youu  <3 ahaha""",0
###############################################################################################################################################################################################################################################################,1
""" piratee&#039;s or ninja&#039;s? Ahah pirateesss .""",0
""" really. travis? watt yuu meann...?""",0
""" shit talkin bitch wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy""",1
""" uhm i think i love me some freaking joie thasss right  <3 :D ahahah ndd ii lovee mee alott off myy lil floricell(: <33""",0
""" What do you think is your most attractive feature? uhmmm ?""",0
""" What&#039;s your favorite drink? lemenadeee(:""",0
""" Who do you like? ummm.....ahhh hottt seniorrr(:""",0
""" Who is ur lover??? welll forr righhtt noww no onee iss_):""",0
""" Who&#039;s the most talented person you know? uhm (:""",0
""" whyy aree youu suchh aa faggottt(: ahahaha i noo""",1
""" you a sexxyy mommma =) Ahaha thanks""",0
""" your ugly. oohhh well thanksss yuuur soo""",1
""" <3 I love you  you&#039;re so beautiful.  I wanna be your boyfriend too. sure you do liar""",0
""" &quot;Show your face Anonymous&quot; WTF?! You make no sense you fake ugly bitch i never said i did""",1
""" (: : )""",0
""" (girls)Can you belly dance?r (guys)can you break dance? haha no""",0
""" ..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3 i can say more  IM NOT FAKE""",1
""" :( D:""",0
###############################################################################################################################################################################################################################################################,1
""" `` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&#039;s for making my day ;D your welcome faggot""",1
""" 13?r you&#039;re at the perfect age to learn how to suck dick and give hand jobs. SICKO""",1
""" 484 264 3364 ; you should call me. okay.""",0
""" ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch. you ain t pretty pshh don t make me laugh""",1
""" are you fat? nope""",0
""" Are You Good At Hangman? I Suck At It >.< no""",0
""" Are you ready to start school? I am <3. yea >_<""",0
""" are you single? yea""",0
""" ashlee....i&#039;ve had the biggest crush on you for awhile!  i don&#039;t go on here a lot.  but please message me on www.findersingle.com under the username &quot;wishfulthinker&quot;.  please don&#039;t get all weird.  =) NO NO!!!!!!!!!!!""",0
""" Ask me anythInclude Your User Info   ing who are u?""",0
""" baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3 nope""",1
""" Basicc Information -  Name ? Age ? Location ? Grade ? ashlee 13 florida 7th""",0
""" best lil wayne song? umm idk""",0
""" Best thing that happened to you this summer? :] nothing really""",0
""" BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR that doesn t even make sense""",1
""" bob pepe?""",0
""" Call me tomorrow at 7:00 AM. OK""",0
""" Chicken Or Hamburgers? chicken <3333""",0
""" cuter me?""",0
""" cyrus? stalker?""",0
""" do i know you? Do I know you?""",0
""" Do words really hurt you? no""",0
""" do you curse? yea""",0
""" Do you hate when people give short boring answers to your questions? yea all the time""",0
""" Do you know anyone who will do almost  anything for attention? -_- . yea my sister""",0
""" do you like adtf yea""",0
""" do you like bodtf? yea :)""",0
""" do you like nevershoutnever kinda""",0
""" Do you like to clean? yea i don t like it when it s dirty""",0
""" Do you like your name? yea :)""",0
""" Do you love Twilight as much as this? I bet this will be your new homepage. http://MyTwilightSearch.com ew i hate twilight""",0
""" Do you miss your hometown? lol no""",0
""" do you think you could make it in the woods with just camping supplys for a week? {no cellphone.) hell no""",0
""" Does it bother you when strangers try to tell you what to do? yea -__-""",0
""" does your bedroom door have a lock on it? no""",0
""" Don&#039;t call her a bitch vv just did""",1
""" Don&#039;t You Hate How People Make Fake Celerbity Pages? >.< yea that is sooo annoying""",0
""" dont you hate it when people are only dating for about 2 days and they put &quot;i love (the persons name)&quot; on there statuses and stuff? I do >.< i hate that so much""",0
